#    L    TT             EE             TE             PP             TP          
   552   0.257959E+04   0.831763E+01   0.380753E+01   0.774626E+06   0.580316E+02
   553   0.257601E+04   0.845703E+01   0.496822E+01   0.772557E+06   0.583973E+02
   554   0.257224E+04   0.860155E+01   0.611319E+01   0.770497E+06   0.587780E+02
   555   0.256826E+04   0.875113E+01   0.724169E+01   0.768445E+06   0.591733E+02
   556   0.256407E+04   0.890576E+01   0.835301E+01   0.766401E+06   0.595831E+02
   557   0.255969E+04   0.906537E+01   0.944651E+01   0.764365E+06   0.600072E+02
   558   0.255511E+04   0.922995E+01   0.105214E+02   0.762338E+06   0.604455E+02
   559   0.255034E+04   0.939944E+01   0.115773E+02   0.760318E+06   0.608977E+02
   560   0.254538E+04   0.957384E+01   0.126133E+02   0.758307E+06   0.613637E+02
   561   0.254024E+04   0.975298E+01   0.136289E+02   0.756304E+06   0.618434E+02
   562   0.253491E+04   0.993696E+01   0.146237E+02   0.754309E+06   0.623365E+02
   563   0.252939E+04   0.101256E+02   0.155967E+02   0.752322E+06   0.628428E+02
   564   0.252371E+04   0.103190E+02   0.165476E+02   0.750343E+06   0.633622E+02
   565   0.251784E+04   0.105169E+02   0.174757E+02   0.748372E+06   0.638945E+02
   566   0.251180E+04   0.107194E+02   0.183805E+02   0.746409E+06   0.644396E+02
   567   0.250560E+04   0.109264E+02   0.192615E+02   0.744453E+06   0.649972E+02
   568   0.249923E+04   0.111378E+02   0.201180E+02   0.742506E+06   0.655671E+02
   569   0.249269E+04   0.113535E+02   0.209497E+02   0.740566E+06   0.661493E+02
   570   0.248599E+04   0.115735E+02   0.217560E+02   0.738634E+06   0.667434E+02
   571   0.247913E+04   0.117978E+02   0.225362E+02   0.736710E+06   0.673494E+02
   572   0.247212E+04   0.120261E+02   0.232902E+02   0.734793E+06   0.679671E+02
   573   0.246497E+04   0.122585E+02   0.240173E+02   0.732884E+06   0.685962E+02
   574   0.245767E+04   0.124950E+02   0.247172E+02   0.730983E+06   0.692366E+02
   575   0.245024E+04   0.127353E+02   0.253895E+02   0.729089E+06   0.698882E+02
   576   0.244267E+04   0.129794E+02   0.260338E+02   0.727203E+06   0.705507E+02
   577   0.243498E+04   0.132273E+02   0.266497E+02   0.725325E+06   0.712239E+02
   578   0.242717E+04   0.134788E+02   0.272367E+02   0.723454E+06   0.719078E+02
   579   0.241923E+04   0.137339E+02   0.277945E+02   0.721590E+06   0.726020E+02
   580   0.241119E+04   0.139925E+02   0.283228E+02   0.719734E+06   0.733065E+02
   581   0.240304E+04   0.142545E+02   0.288211E+02   0.717885E+06   0.740211E+02
   582   0.239478E+04   0.145197E+02   0.292890E+02   0.716043E+06   0.747455E+02
   583   0.238643E+04   0.147882E+02   0.297262E+02   0.714209E+06   0.754797E+02
   584   0.237798E+04   0.150598E+02   0.301323E+02   0.712382E+06   0.762233E+02
   585   0.236945E+04   0.153344E+02   0.305070E+02   0.710562E+06   0.769763E+02
   586   0.236082E+04   0.156119E+02   0.308499E+02   0.708750E+06   0.777385E+02
   587   0.235211E+04   0.158922E+02   0.311608E+02   0.706945E+06   0.785097E+02
   588   0.234334E+04   0.161752E+02   0.314395E+02   0.705147E+06   0.792896E+02
   589   0.233449E+04   0.164608E+02   0.316858E+02   0.703355E+06   0.800782E+02
   590   0.232557E+04   0.167490E+02   0.318993E+02   0.701571E+06   0.808753E+02
   591   0.231660E+04   0.170395E+02   0.320799E+02   0.699794E+06   0.816806E+02
   592   0.230757E+04   0.173323E+02   0.322272E+02   0.698024E+06   0.824941E+02
   593   0.229848E+04   0.176273E+02   0.323412E+02   0.696261E+06   0.833154E+02
   594   0.228934E+04   0.179243E+02   0.324216E+02   0.694505E+06   0.841445E+02
   595   0.228017E+04   0.182233E+02   0.324685E+02   0.692756E+06   0.849812E+02
   596   0.227096E+04   0.185241E+02   0.324815E+02   0.691014E+06   0.858253E+02
   597   0.226171E+04   0.188267E+02   0.324605E+02   0.689278E+06   0.866765E+02
   598   0.225243E+04   0.191308E+02   0.324055E+02   0.687549E+06   0.875348E+02
   599   0.224313E+04   0.194365E+02   0.323163E+02   0.685827E+06   0.884000E+02
   600   0.223381E+04   0.197435E+02   0.321928E+02   0.684112E+06   0.892718E+02
   601   0.222448E+04   0.200517E+02   0.320351E+02   0.682404E+06   0.901502E+02
   602   0.221513E+04   0.203611E+02   0.318432E+02   0.680702E+06   0.910348E+02
   603   0.220579E+04   0.206715E+02   0.316170E+02   0.679006E+06   0.919255E+02
   604   0.219643E+04   0.209829E+02   0.313565E+02   0.677318E+06   0.928221E+02
   605   0.218708E+04   0.212949E+02   0.310619E+02   0.675635E+06   0.937244E+02
   606   0.217775E+04   0.216076E+02   0.307330E+02   0.673960E+06   0.946321E+02
   607   0.216842E+04   0.219210E+02   0.303699E+02   0.672291E+06   0.955451E+02
   608   0.215911E+04   0.222347E+02   0.299728E+02   0.670628E+06   0.964632E+02
   609   0.214983E+04   0.225486E+02   0.295417E+02   0.668972E+06   0.973861E+02
   610   0.214057E+04   0.228628E+02   0.290766E+02   0.667322E+06   0.983137E+02
   611   0.213135E+04   0.231769E+02   0.285777E+02   0.665679E+06   0.992457E+02
   612   0.212216E+04   0.234909E+02   0.280449E+02   0.664042E+06   0.100182E+03
   613   0.211301E+04   0.238046E+02   0.274786E+02   0.662411E+06   0.101122E+03
   614   0.210392E+04   0.241180E+02   0.268788E+02   0.660787E+06   0.102066E+03
   615   0.209487E+04   0.244309E+02   0.262458E+02   0.659169E+06   0.103014E+03
   616   0.208588E+04   0.247432E+02   0.255799E+02   0.657557E+06   0.103965E+03
   617   0.207695E+04   0.250548E+02   0.248814E+02   0.655951E+06   0.104920E+03
   618   0.206809E+04   0.253657E+02   0.241506E+02   0.654352E+06   0.105877E+03
   619   0.205929E+04   0.256755E+02   0.233877E+02   0.652759E+06   0.106837E+03
   620   0.205057E+04   0.259844E+02   0.225929E+02   0.651171E+06   0.107800E+03
   621   0.204194E+04   0.262922E+02   0.217667E+02   0.649590E+06   0.108765E+03
   622   0.203339E+04   0.265985E+02   0.209092E+02   0.648016E+06   0.109732E+03
   623   0.202493E+04   0.269035E+02   0.200208E+02   0.646447E+06   0.110702E+03
   624   0.201655E+04   0.272070E+02   0.191017E+02   0.644884E+06   0.111673E+03
   625   0.200828E+04   0.275088E+02   0.181523E+02   0.643327E+06   0.112646E+03
   626   0.200011E+04   0.278088E+02   0.171728E+02   0.641776E+06   0.113620E+03
   627   0.199203E+04   0.281068E+02   0.161636E+02   0.640232E+06   0.114595E+03
   628   0.198408E+04   0.284028E+02   0.151249E+02   0.638693E+06   0.115571E+03
   629   0.197623E+04   0.286966E+02   0.140574E+02   0.637159E+06   0.116548E+03
   630   0.196849E+04   0.289882E+02   0.129613E+02   0.635632E+06   0.117525E+03
   631   0.196088E+04   0.292772E+02   0.118370E+02   0.634111E+06   0.118503E+03
   632   0.195339E+04   0.295638E+02   0.106851E+02   0.632595E+06   0.119481E+03
   633   0.194602E+04   0.298478E+02   0.950592E+01   0.631085E+06   0.120459E+03
   634   0.193879E+04   0.301289E+02   0.829988E+01   0.629581E+06   0.121436E+03
   635   0.193169E+04   0.304072E+02   0.706751E+01   0.628083E+06   0.122413E+03
   636   0.192473E+04   0.306824E+02   0.580928E+01   0.626590E+06   0.123389E+03
   637   0.191791E+04   0.309546E+02   0.452569E+01   0.625103E+06   0.124365E+03
   638   0.191123E+04   0.312235E+02   0.321727E+01   0.623622E+06   0.125339E+03
   639   0.190470E+04   0.314892E+02   0.188450E+01   0.622146E+06   0.126312E+03
   640   0.189832E+04   0.317514E+02   0.527898E+00   0.620676E+06   0.127284E+03
   641   0.189209E+04   0.320101E+02  -0.852028E+00   0.619211E+06   0.128253E+03
   642   0.188601E+04   0.322650E+02  -0.225469E+01   0.617752E+06   0.129221E+03
   643   0.188011E+04   0.325163E+02  -0.367950E+01   0.616299E+06   0.130187E+03
   644   0.187435E+04   0.327637E+02  -0.512587E+01   0.614850E+06   0.131150E+03
   645   0.186876E+04   0.330070E+02  -0.659319E+01   0.613408E+06   0.132111E+03
   646   0.186335E+04   0.332463E+02  -0.808089E+01   0.611970E+06   0.133069E+03
   647   0.185809E+04   0.334813E+02  -0.958830E+01   0.610538E+06   0.134024E+03
   648   0.185301E+04   0.337119E+02  -0.111150E+02   0.609112E+06   0.134976E+03
   649   0.184810E+04   0.339381E+02  -0.126600E+02   0.607690E+06   0.135925E+03
   650   0.184337E+04   0.341598E+02  -0.142230E+02   0.606274E+06   0.136870E+03
   651   0.183882E+04   0.343770E+02  -0.158032E+02   0.604864E+06   0.137811E+03
   652   0.183444E+04   0.345896E+02  -0.173999E+02   0.603458E+06   0.138749E+03
   653   0.183025E+04   0.347975E+02  -0.190124E+02   0.602058E+06   0.139682E+03
   654   0.182624E+04   0.350007E+02  -0.206402E+02   0.600663E+06   0.140611E+03
   655   0.182243E+04   0.351989E+02  -0.222826E+02   0.599273E+06   0.141537E+03
   656   0.181879E+04   0.353923E+02  -0.239387E+02   0.597888E+06   0.142458E+03
   657   0.181535E+04   0.355808E+02  -0.256081E+02   0.596508E+06   0.143375E+03
   658   0.181210E+04   0.357642E+02  -0.272898E+02   0.595134E+06   0.144288E+03
   659   0.180905E+04   0.359424E+02  -0.289832E+02   0.593764E+06   0.145196E+03
   660   0.180618E+04   0.361154E+02  -0.306876E+02   0.592400E+06   0.146099E+03
   661   0.180351E+04   0.362830E+02  -0.324023E+02   0.591040E+06   0.146999E+03
   662   0.180104E+04   0.364452E+02  -0.341266E+02   0.589686E+06   0.147893E+03
   663   0.179877E+04   0.366021E+02  -0.358597E+02   0.588337E+06   0.148783E+03
   664   0.179669E+04   0.367533E+02  -0.376008E+02   0.586992E+06   0.149668E+03
   665   0.179482E+04   0.368990E+02  -0.393492E+02   0.585653E+06   0.150548E+03
   666   0.179313E+04   0.370390E+02  -0.411043E+02   0.584318E+06   0.151423E+03
   667   0.179165E+04   0.371734E+02  -0.428652E+02   0.582988E+06   0.152293E+03
   668   0.179038E+04   0.373020E+02  -0.446311E+02   0.581664E+06   0.153158E+03
   669   0.178930E+04   0.374247E+02  -0.464014E+02   0.580344E+06   0.154018E+03
   670   0.178842E+04   0.375416E+02  -0.481753E+02   0.579028E+06   0.154872E+03
   671   0.178775E+04   0.376527E+02  -0.499521E+02   0.577718E+06   0.155721E+03
   672   0.178728E+04   0.377577E+02  -0.517310E+02   0.576412E+06   0.156565E+03
   673   0.178701E+04   0.378568E+02  -0.535111E+02   0.575112E+06   0.157403E+03
   674   0.178694E+04   0.379499E+02  -0.552919E+02   0.573816E+06   0.158236E+03
   675   0.178707E+04   0.380369E+02  -0.570726E+02   0.572524E+06   0.159062E+03
   676   0.178741E+04   0.381178E+02  -0.588522E+02   0.571237E+06   0.159884E+03
   677   0.178795E+04   0.381926E+02  -0.606303E+02   0.569955E+06   0.160699E+03
   678   0.178868E+04   0.382612E+02  -0.624057E+02   0.568678E+06   0.161508E+03
   679   0.178962E+04   0.383235E+02  -0.641778E+02   0.567405E+06   0.162312E+03
   680   0.179076E+04   0.383796E+02  -0.659458E+02   0.566137E+06   0.163109E+03
   681   0.179209E+04   0.384293E+02  -0.677088E+02   0.564873E+06   0.163900E+03
   682   0.179362E+04   0.384727E+02  -0.694661E+02   0.563614E+06   0.164685E+03
   683   0.179534E+04   0.385096E+02  -0.712168E+02   0.562360E+06   0.165464E+03
   684   0.179727E+04   0.385401E+02  -0.729602E+02   0.561110E+06   0.166236E+03
   685   0.179938E+04   0.385644E+02  -0.746958E+02   0.559864E+06   0.167002E+03
   686   0.180169E+04   0.385822E+02  -0.764222E+02   0.558623E+06   0.167761E+03
   687   0.180419E+04   0.385938E+02  -0.781398E+02   0.557386E+06   0.168513E+03
   688   0.180688E+04   0.385990E+02  -0.798477E+02   0.556154E+06   0.169259E+03
   689   0.180976E+04   0.385980E+02  -0.815445E+02   0.554926E+06   0.169998E+03
   690   0.181284E+04   0.385908E+02  -0.832294E+02   0.553702E+06   0.170731E+03
   691   0.181609E+04   0.385773E+02  -0.849024E+02   0.552483E+06   0.171456E+03
   692   0.181953E+04   0.385575E+02  -0.865628E+02   0.551268E+06   0.172174E+03
   693   0.182316E+04   0.385315E+02  -0.882098E+02   0.550058E+06   0.172885E+03
   694   0.182697E+04   0.384993E+02  -0.898420E+02   0.548851E+06   0.173589E+03
   695   0.183096E+04   0.384609E+02  -0.914593E+02   0.547649E+06   0.174286E+03
   696   0.183512E+04   0.384162E+02  -0.930603E+02   0.546451E+06   0.174975E+03
   697   0.183946E+04   0.383654E+02  -0.946450E+02   0.545258E+06   0.175657E+03
   698   0.184396E+04   0.383083E+02  -0.962118E+02   0.544068E+06   0.176332E+03
   699   0.184864E+04   0.382451E+02  -0.977609E+02   0.542883E+06   0.176999E+03
   700   0.185349E+04   0.381758E+02  -0.992913E+02   0.541701E+06   0.177658E+03
   701   0.185850E+04   0.381004E+02  -0.100802E+03   0.540524E+06   0.178310E+03
   702   0.186367E+04   0.380189E+02  -0.102294E+03   0.539351E+06   0.178953E+03
   703   0.186899E+04   0.379315E+02  -0.103765E+03   0.538182E+06   0.179589E+03
   704   0.187449E+04   0.378380E+02  -0.105213E+03   0.537017E+06   0.180216E+03
   705   0.188012E+04   0.377387E+02  -0.106641E+03   0.535856E+06   0.180836E+03
   706   0.188592E+04   0.376335E+02  -0.108045E+03   0.534699E+06   0.181447E+03
   707   0.189186E+04   0.375225E+02  -0.109426E+03   0.533547E+06   0.182049E+03
   708   0.189794E+04   0.374057E+02  -0.110784E+03   0.532398E+06   0.182643E+03
   709   0.190417E+04   0.372834E+02  -0.112117E+03   0.531253E+06   0.183227E+03
   710   0.191053E+04   0.371554E+02  -0.113425E+03   0.530112E+06   0.183803E+03
   711   0.191702E+04   0.370218E+02  -0.114709E+03   0.528975E+06   0.184370E+03
   712   0.192366E+04   0.368827E+02  -0.115965E+03   0.527841E+06   0.184928E+03
   713   0.193042E+04   0.367381E+02  -0.117195E+03   0.526712E+06   0.185476E+03
   714   0.193730E+04   0.365882E+02  -0.118397E+03   0.525587E+06   0.186015E+03
   715   0.194431E+04   0.364329E+02  -0.119572E+03   0.524465E+06   0.186545E+03
   716   0.195143E+04   0.362723E+02  -0.120718E+03   0.523347E+06   0.187064E+03
   717   0.195866E+04   0.361064E+02  -0.121835E+03   0.522234E+06   0.187574E+03
   718   0.196600E+04   0.359353E+02  -0.122922E+03   0.521123E+06   0.188074E+03
   719   0.197345E+04   0.357591E+02  -0.123979E+03   0.520017E+06   0.188564E+03
   720   0.198100E+04   0.355779E+02  -0.125006E+03   0.518914E+06   0.189043E+03
   721   0.198865E+04   0.353918E+02  -0.126001E+03   0.517816E+06   0.189512E+03
   722   0.199640E+04   0.352010E+02  -0.126966E+03   0.516720E+06   0.189971E+03
   723   0.200424E+04   0.350055E+02  -0.127899E+03   0.515629E+06   0.190419E+03
   724   0.201217E+04   0.348055E+02  -0.128801E+03   0.514541E+06   0.190856E+03
   725   0.202019E+04   0.346010E+02  -0.129670E+03   0.513457E+06   0.191282E+03
   726   0.202829E+04   0.343922E+02  -0.130506E+03   0.512377E+06   0.191697E+03
   727   0.203648E+04   0.341791E+02  -0.131310E+03   0.511300E+06   0.192101E+03
   728   0.204474E+04   0.339617E+02  -0.132080E+03   0.510227E+06   0.192494E+03
   729   0.205307E+04   0.337404E+02  -0.132816E+03   0.509157E+06   0.192875E+03
   730   0.206147E+04   0.335150E+02  -0.133519E+03   0.508091E+06   0.193245E+03
   731   0.206994E+04   0.332857E+02  -0.134187E+03   0.507029E+06   0.193603E+03
   732   0.207846E+04   0.330525E+02  -0.134819E+03   0.505970E+06   0.193949E+03
   733   0.208703E+04   0.328157E+02  -0.135417E+03   0.504915E+06   0.194283E+03
   734   0.209567E+04   0.325752E+02  -0.135978E+03   0.503863E+06   0.194605E+03
   735   0.210433E+04   0.323313E+02  -0.136505E+03   0.502814E+06   0.194915E+03
   736   0.211305E+04   0.320840E+02  -0.136995E+03   0.501770E+06   0.195212E+03
   737   0.212180E+04   0.318334E+02  -0.137448E+03   0.500728E+06   0.195497E+03
   738   0.213059E+04   0.315797E+02  -0.137866E+03   0.499690E+06   0.195770E+03
   739   0.213941E+04   0.313229E+02  -0.138246E+03   0.498656E+06   0.196029E+03
   740   0.214825E+04   0.310632E+02  -0.138588E+03   0.497624E+06   0.196276E+03
   741   0.215711E+04   0.308008E+02  -0.138894E+03   0.496597E+06   0.196510E+03
   742   0.216598E+04   0.305357E+02  -0.139162E+03   0.495572E+06   0.196730E+03
   743   0.217486E+04   0.302680E+02  -0.139393E+03   0.494551E+06   0.196937E+03
   744   0.218375E+04   0.299980E+02  -0.139586E+03   0.493533E+06   0.197131E+03
   745   0.219263E+04   0.297258E+02  -0.139741E+03   0.492519E+06   0.197311E+03
   746   0.220151E+04   0.294514E+02  -0.139859E+03   0.491508E+06   0.197478E+03
   747   0.221038E+04   0.291750E+02  -0.139938E+03   0.490500E+06   0.197631E+03
   748   0.221924E+04   0.288966E+02  -0.139980E+03   0.489495E+06   0.197769E+03
   749   0.222808E+04   0.286165E+02  -0.139983E+03   0.488494E+06   0.197894E+03
   750   0.223690E+04   0.283348E+02  -0.139949E+03   0.487495E+06   0.198004E+03
   751   0.224569E+04   0.280514E+02  -0.139876E+03   0.486500E+06   0.198101E+03
   752   0.225445E+04   0.277667E+02  -0.139764E+03   0.485509E+06   0.198183E+03
   753   0.226317E+04   0.274806E+02  -0.139615E+03   0.484520E+06   0.198251E+03
   754   0.227186E+04   0.271934E+02  -0.139428E+03   0.483534E+06   0.198305E+03
   755   0.228050E+04   0.269052E+02  -0.139203E+03   0.482552E+06   0.198345E+03
   756   0.228909E+04   0.266160E+02  -0.138940E+03   0.481573E+06   0.198372E+03
   757   0.229765E+04   0.263263E+02  -0.138639E+03   0.480597E+06   0.198385E+03
   758   0.230615E+04   0.260358E+02  -0.138301E+03   0.479624E+06   0.198385E+03
   759   0.231460E+04   0.257450E+02  -0.137926E+03   0.478654E+06   0.198372E+03
   760   0.232299E+04   0.254538E+02  -0.137514E+03   0.477687E+06   0.198345E+03
   761   0.233132E+04   0.251626E+02  -0.137064E+03   0.476723E+06   0.198306E+03
   762   0.233959E+04   0.248712E+02  -0.136578E+03   0.475762E+06   0.198255E+03
   763   0.234779E+04   0.245799E+02  -0.136054E+03   0.474805E+06   0.198191E+03
   764   0.235591E+04   0.242888E+02  -0.135493E+03   0.473850E+06   0.198114E+03
   765   0.236394E+04   0.239980E+02  -0.134896E+03   0.472898E+06   0.198025E+03
   766   0.237189E+04   0.237077E+02  -0.134262E+03   0.471950E+06   0.197924E+03
   767   0.237975E+04   0.234178E+02  -0.133590E+03   0.471004E+06   0.197812E+03
   768   0.238752E+04   0.231287E+02  -0.132881E+03   0.470061E+06   0.197687E+03
   769   0.239518E+04   0.228405E+02  -0.132137E+03   0.469122E+06   0.197551E+03
   770   0.240274E+04   0.225532E+02  -0.131357E+03   0.468185E+06   0.197404E+03
   771   0.241019E+04   0.222670E+02  -0.130541E+03   0.467251E+06   0.197245E+03
   772   0.241752E+04   0.219822E+02  -0.129689E+03   0.466320E+06   0.197075E+03
   773   0.242474E+04   0.216988E+02  -0.128804E+03   0.465392E+06   0.196894E+03
   774   0.243183E+04   0.214169E+02  -0.127884E+03   0.464467E+06   0.196702E+03
   775   0.243880E+04   0.211368E+02  -0.126930E+03   0.463544E+06   0.196499E+03
   776   0.244564E+04   0.208585E+02  -0.125943E+03   0.462625E+06   0.196286E+03
   777   0.245236E+04   0.205821E+02  -0.124923E+03   0.461708E+06   0.196062E+03
   778   0.245896E+04   0.203078E+02  -0.123871E+03   0.460794E+06   0.195829E+03
   779   0.246543E+04   0.200357E+02  -0.122787E+03   0.459884E+06   0.195585E+03
   780   0.247176E+04   0.197659E+02  -0.121671E+03   0.458975E+06   0.195331E+03
   781   0.247797E+04   0.194985E+02  -0.120525E+03   0.458070E+06   0.195067E+03
   782   0.248404E+04   0.192337E+02  -0.119348E+03   0.457167E+06   0.194794E+03
   783   0.248997E+04   0.189715E+02  -0.118140E+03   0.456268E+06   0.194512E+03
   784   0.249576E+04   0.187121E+02  -0.116902E+03   0.455370E+06   0.194220E+03
   785   0.250139E+04   0.184554E+02  -0.115634E+03   0.454476E+06   0.193918E+03
   786   0.250687E+04   0.182018E+02  -0.114335E+03   0.453585E+06   0.193608E+03
   787   0.251218E+04   0.179512E+02  -0.113008E+03   0.452696E+06   0.193289E+03
   788   0.251734E+04   0.177038E+02  -0.111649E+03   0.451809E+06   0.192961E+03
   789   0.252231E+04   0.174597E+02  -0.110263E+03   0.450926E+06   0.192625E+03
   790   0.252712E+04   0.172191E+02  -0.108848E+03   0.450045E+06   0.192280E+03
   791   0.253175E+04   0.169820E+02  -0.107406E+03   0.449167E+06   0.191927E+03
   792   0.253622E+04   0.167488E+02  -0.105938E+03   0.448291E+06   0.191566E+03
   793   0.254050E+04   0.165195E+02  -0.104445E+03   0.447418E+06   0.191197E+03
   794   0.254460E+04   0.162942E+02  -0.102927E+03   0.446548E+06   0.190820E+03
   795   0.254852E+04   0.160732E+02  -0.101386E+03   0.445680E+06   0.190435E+03
   796   0.255226E+04   0.158564E+02  -0.998207E+02   0.444815E+06   0.190043E+03
   797   0.255583E+04   0.156439E+02  -0.982336E+02   0.443953E+06   0.189644E+03
   798   0.255920E+04   0.154357E+02  -0.966242E+02   0.443093E+06   0.189237E+03
   799   0.256240E+04   0.152321E+02  -0.949932E+02   0.442235E+06   0.188824E+03
   800   0.256541E+04   0.150329E+02  -0.933399E+02   0.441380E+06   0.188403E+03
   801   0.256824E+04   0.148383E+02  -0.916665E+02   0.440528E+06   0.187976E+03
   802   0.257088E+04   0.146482E+02  -0.899724E+02   0.439678E+06   0.187542E+03
   803   0.257334E+04   0.144630E+02  -0.882581E+02   0.438831E+06   0.187101E+03
   804   0.257560E+04   0.142825E+02  -0.865252E+02   0.437986E+06   0.186654E+03
   805   0.257767E+04   0.141070E+02  -0.847731E+02   0.437143E+06   0.186200E+03
   806   0.257953E+04   0.139366E+02  -0.830038E+02   0.436303E+06   0.185739E+03
   807   0.258118E+04   0.137714E+02  -0.812159E+02   0.435466E+06   0.185272E+03
   808   0.258262E+04   0.136116E+02  -0.794124E+02   0.434631E+06   0.184799E+03
   809   0.258385E+04   0.134572E+02  -0.775925E+02   0.433798E+06   0.184319E+03
   810   0.258486E+04   0.133082E+02  -0.757571E+02   0.432968E+06   0.183832E+03
   811   0.258566E+04   0.131649E+02  -0.739076E+02   0.432140E+06   0.183339E+03
   812   0.258625E+04   0.130270E+02  -0.720448E+02   0.431315E+06   0.182840E+03
   813   0.258664E+04   0.128948E+02  -0.701697E+02   0.430492E+06   0.182334E+03
   814   0.258682E+04   0.127682E+02  -0.682831E+02   0.429671E+06   0.181823E+03
   815   0.258682E+04   0.126473E+02  -0.663860E+02   0.428853E+06   0.181304E+03
   816   0.258662E+04   0.125321E+02  -0.644792E+02   0.428037E+06   0.180780E+03
   817   0.258621E+04   0.124228E+02  -0.625632E+02   0.427224E+06   0.180249E+03
   818   0.258561E+04   0.123193E+02  -0.606383E+02   0.426413E+06   0.179712E+03
   819   0.258480E+04   0.122217E+02  -0.587049E+02   0.425604E+06   0.179169E+03
   820   0.258378E+04   0.121302E+02  -0.567635E+02   0.424798E+06   0.178620E+03
   821   0.258253E+04   0.120446E+02  -0.548144E+02   0.423994E+06   0.178065E+03
   822   0.258106E+04   0.119653E+02  -0.528579E+02   0.423192E+06   0.177504E+03
   823   0.257935E+04   0.118921E+02  -0.508946E+02   0.422393E+06   0.176937E+03
   824   0.257743E+04   0.118252E+02  -0.489255E+02   0.421595E+06   0.176364E+03
   825   0.257529E+04   0.117645E+02  -0.469518E+02   0.420800E+06   0.175784E+03
   826   0.257293E+04   0.117101E+02  -0.449746E+02   0.420008E+06   0.175199E+03
   827   0.257037E+04   0.116620E+02  -0.429952E+02   0.419217E+06   0.174608E+03
   828   0.256760E+04   0.116202E+02  -0.410146E+02   0.418429E+06   0.174012E+03
   829   0.256463E+04   0.115846E+02  -0.390340E+02   0.417644E+06   0.173409E+03
   830   0.256148E+04   0.115555E+02  -0.370546E+02   0.416860E+06   0.172801E+03
   831   0.255812E+04   0.115327E+02  -0.350766E+02   0.416079E+06   0.172186E+03
   832   0.255457E+04   0.115163E+02  -0.331006E+02   0.415299E+06   0.171567E+03
   833   0.255081E+04   0.115063E+02  -0.311268E+02   0.414522E+06   0.170941E+03
   834   0.254685E+04   0.115028E+02  -0.291556E+02   0.413748E+06   0.170310E+03
   835   0.254268E+04   0.115058E+02  -0.271874E+02   0.412975E+06   0.169673E+03
   836   0.253828E+04   0.115153E+02  -0.252225E+02   0.412205E+06   0.169031E+03
   837   0.253366E+04   0.115313E+02  -0.232615E+02   0.411436E+06   0.168383E+03
   838   0.252884E+04   0.115539E+02  -0.213050E+02   0.410670E+06   0.167729E+03
   839   0.252380E+04   0.115829E+02  -0.193543E+02   0.409906E+06   0.167070E+03
   840   0.251856E+04   0.116184E+02  -0.174101E+02   0.409144E+06   0.166406E+03
   841   0.251312E+04   0.116603E+02  -0.154737E+02   0.408385E+06   0.165736E+03
   842   0.250749E+04   0.117086E+02  -0.135459E+02   0.407627E+06   0.165061E+03
   843   0.250167E+04   0.117632E+02  -0.116277E+02   0.406872E+06   0.164380E+03
   844   0.249567E+04   0.118240E+02  -0.972011E+01   0.406118E+06   0.163694E+03
   845   0.248948E+04   0.118912E+02  -0.782366E+01   0.405367E+06   0.163003E+03
   846   0.248312E+04   0.119646E+02  -0.593908E+01   0.404618E+06   0.162307E+03
   847   0.247656E+04   0.120445E+02  -0.406681E+01   0.403871E+06   0.161605E+03
   848   0.246981E+04   0.121307E+02  -0.220747E+01   0.403125E+06   0.160898E+03
   849   0.246288E+04   0.122232E+02  -0.361625E+00   0.402382E+06   0.160186E+03
   850   0.245574E+04   0.123221E+02   0.147016E+01   0.401641E+06   0.159469E+03
   851   0.244841E+04   0.124276E+02   0.328732E+01   0.400902E+06   0.158747E+03
   852   0.244090E+04   0.125392E+02   0.508935E+01   0.400165E+06   0.158020E+03
   853   0.243319E+04   0.126571E+02   0.687572E+01   0.399430E+06   0.157287E+03
   854   0.242531E+04   0.127811E+02   0.864594E+01   0.398697E+06   0.156550E+03
   855   0.241726E+04   0.129111E+02   0.103995E+02   0.397966E+06   0.155809E+03
   856   0.240903E+04   0.130470E+02   0.121359E+02   0.397237E+06   0.155062E+03
   857   0.240064E+04   0.131887E+02   0.138546E+02   0.396510E+06   0.154311E+03
   858   0.239210E+04   0.133361E+02   0.155550E+02   0.395785E+06   0.153555E+03
   859   0.238340E+04   0.134892E+02   0.172364E+02   0.395062E+06   0.152795E+03
   860   0.237455E+04   0.136481E+02   0.188978E+02   0.394341E+06   0.152031E+03
   861   0.236555E+04   0.138125E+02   0.205385E+02   0.393622E+06   0.151262E+03
   862   0.235639E+04   0.139826E+02   0.221575E+02   0.392905E+06   0.150489E+03
   863   0.234709E+04   0.141583E+02   0.237539E+02   0.392190E+06   0.149712E+03
   864   0.233765E+04   0.143397E+02   0.253270E+02   0.391477E+06   0.148931E+03
   865   0.232805E+04   0.145266E+02   0.268758E+02   0.390765E+06   0.148146E+03
   866   0.231832E+04   0.147190E+02   0.284002E+02   0.390056E+06   0.147357E+03
   867   0.230845E+04   0.149168E+02   0.299000E+02   0.389348E+06   0.146564E+03
   868   0.229843E+04   0.151199E+02   0.313750E+02   0.388642E+06   0.145768E+03
   869   0.228827E+04   0.153282E+02   0.328251E+02   0.387939E+06   0.144967E+03
   870   0.227798E+04   0.155417E+02   0.342500E+02   0.387237E+06   0.144164E+03
   871   0.226755E+04   0.157602E+02   0.356496E+02   0.386537E+06   0.143356E+03
