#    L    TT             EE             TE             PP             TP          
    75   0.198583E+04   0.395163E+00  -0.806979E+01   0.536988E+07   0.854312E+04
    76   0.201159E+04   0.409360E+00  -0.857885E+01   0.534078E+07   0.842444E+04
    77   0.203753E+04   0.423727E+00  -0.909833E+01   0.531159E+07   0.830852E+04
    78   0.206364E+04   0.438251E+00  -0.962776E+01   0.528231E+07   0.819498E+04
    79   0.208996E+04   0.452921E+00  -0.101670E+02   0.525297E+07   0.808342E+04
    80   0.211652E+04   0.467726E+00  -0.107160E+02   0.522360E+07   0.797344E+04
    81   0.214334E+04   0.482654E+00  -0.112745E+02   0.519421E+07   0.786476E+04
    82   0.217042E+04   0.497694E+00  -0.118422E+02   0.516481E+07   0.775749E+04
    83   0.219775E+04   0.512837E+00  -0.124188E+02   0.513543E+07   0.765187E+04
    84   0.222532E+04   0.528070E+00  -0.130036E+02   0.510608E+07   0.754813E+04
    85   0.225314E+04   0.543383E+00  -0.135966E+02   0.507676E+07   0.744648E+04
    86   0.228118E+04   0.558767E+00  -0.141971E+02   0.504750E+07   0.734713E+04
    87   0.230944E+04   0.574206E+00  -0.148047E+02   0.501830E+07   0.725007E+04
    88   0.233787E+04   0.589690E+00  -0.154187E+02   0.498917E+07   0.715529E+04
    89   0.236651E+04   0.605205E+00  -0.160389E+02   0.496011E+07   0.706274E+04
    90   0.239533E+04   0.620733E+00  -0.166649E+02   0.493114E+07   0.697241E+04
    91   0.242437E+04   0.636261E+00  -0.172961E+02   0.490227E+07   0.688425E+04
    92   0.245361E+04   0.651775E+00  -0.179324E+02   0.487349E+07   0.679821E+04
    93   0.248307E+04   0.667260E+00  -0.185733E+02   0.484481E+07   0.671420E+04
    94   0.251275E+04   0.682703E+00  -0.192185E+02   0.481624E+07   0.663215E+04
    95   0.254266E+04   0.698089E+00  -0.198675E+02   0.478778E+07   0.655201E+04
    96   0.257280E+04   0.713404E+00  -0.205199E+02   0.475943E+07   0.647368E+04
    97   0.260315E+04   0.728634E+00  -0.211753E+02   0.473119E+07   0.639711E+04
    98   0.263374E+04   0.743762E+00  -0.218332E+02   0.470307E+07   0.632222E+04
    99   0.266454E+04   0.758776E+00  -0.224931E+02   0.467508E+07   0.624894E+04
   100   0.269556E+04   0.773663E+00  -0.231545E+02   0.464721E+07   0.617720E+04
   101   0.272680E+04   0.788409E+00  -0.238169E+02   0.461947E+07   0.610692E+04
   102   0.275825E+04   0.802991E+00  -0.244800E+02   0.459187E+07   0.603804E+04
   103   0.278991E+04   0.817411E+00  -0.251430E+02   0.456440E+07   0.597049E+04
   104   0.282178E+04   0.831638E+00  -0.258055E+02   0.453708E+07   0.590418E+04
   105   0.285384E+04   0.845665E+00  -0.264669E+02   0.450989E+07   0.583906E+04
   106   0.288609E+04   0.859478E+00  -0.271266E+02   0.448286E+07   0.577504E+04
   107   0.291852E+04   0.873069E+00  -0.277842E+02   0.445598E+07   0.571206E+04
   108   0.295112E+04   0.886416E+00  -0.284390E+02   0.442925E+07   0.565005E+04
   109   0.298389E+04   0.899513E+00  -0.290904E+02   0.440269E+07   0.558893E+04
   110   0.301683E+04   0.912336E+00  -0.297379E+02   0.437628E+07   0.552864E+04
   111   0.304992E+04   0.924879E+00  -0.303811E+02   0.435004E+07   0.546911E+04
   112   0.308316E+04   0.937135E+00  -0.310192E+02   0.432397E+07   0.541033E+04
   113   0.311655E+04   0.949079E+00  -0.316518E+02   0.429807E+07   0.535231E+04
